step,timestamp,simulation_time,pos_x,pos_y,speed,heading,velocity_x,velocity_y,on_lane,out_of_road,dist_to_left_side,dist_to_right_side,crash_vehicle,crash_object,crash_sidewalk,nav_route_completion,nav_distance_to_dest,nav_current_lane,nav_route_length,nav_checkpoints_count,lane_longitudinal_pos,lane_lateral_pos,lane_length,custom_dest_x,custom_dest_y,distance_to_custom_dest,action_steering,action_throttle,action_source,action_success,reward,control_mode,expert_takeover,obs_shape,obs_mean,obs_std,obs_min,obs_max,obs_0_speed_related,obs_1_steering_related,obs_2,obs_3,obs_4
0,2025-08-12T22:39:22.438579,0.1,202.1979522705078,6.9999613761901855,26.659114923766346,-1.9307917902722238e-05,26.659114837646484,-0.0021428389009088278,True,,1.7500386238098145,8.749961376190186,False,False,False,0.38329779291399874,,"('2S0_0_', '3S0_0_', 0)",0,11,5.7365570068359375,3.8623809814453125e-05,75.58282470703125,637.2861328125,-0.2431640625,435.14846628876194,0.0014368504052981734,-1.8957765102386475,expert,True,2.317918287664761,unknown,True,[259],0.9519808888435364,0.18643110990524292,0.0,1.0,0.09722436964511871,0.4861089587211609,0.5000096559524536,1.0,0.4999978840351105
1,2025-08-12T22:39:22.442791,0.2,204.83688354492188,7.001131057739258,25.399183934079662,0.0006087986251923638,25.399145126342773,0.04440009221434593,True,,1.7488689422607422,8.751131057739258,False,False,False,0.38830029922910436,,"('2S0_0_', '3S0_0_', 0)",0,11,8.37548828125,-0.0011310577392578125,75.58282470703125,637.2861328125,-0.2431640625,432.5099224340189,0.022657115012407303,-4.285405158996582,expert,True,2.753227602117421,unknown,True,[259],0.952017068862915,0.18627403676509857,0.0,1.0,0.09715938568115234,0.48617395758628845,0.4996955990791321,1.0,0.5000352263450623
2,2025-08-12T22:39:22.444678,0.30000000000000004,207.35557556152344,7.00828742980957,24.330722962032684,0.0034593130979585496,24.33026695251465,0.14896266162395477,True,,1.7417125701904297,8.75828742980957,False,False,False,0.39307487325496754,,"('2S0_0_', '3S0_0_', 0)",0,11,10.894180297851562,-0.008287429809570312,75.58282470703125,637.2861328125,-0.2431640625,429.99170643964817,0.008318522945046425,-3.91837215423584,expert,True,2.6281802699307097,unknown,True,[259],0.9521182179450989,0.1857975721359253,0.0,1.0,0.0967618077993393,0.4865715205669403,0.49827033281326294,1.0,0.5000837445259094
3,2025-08-12T22:39:22.446367,0.4,209.76681518554688,7.028139114379883,23.242182185726545,0.010016015701733494,23.239574432373047,0.34815651178359985,True,,1.7218608856201172,8.778139114379883,False,False,False,0.39764575449138334,,"('2S0_0_', '3S0_0_', 0)",0,11,13.305419921875,-0.028139114379882812,75.58282470703125,637.2861328125,-0.2431640625,427.58114878243373,0.018739094957709312,-3.8357458114624023,expert,True,2.515829443859207,unknown,True,[259],0.952275276184082,0.18507440388202667,0.0,1.0,0.09565893560647964,0.48767438530921936,0.49499207735061646,1.0,0.50016188621521
4,2025-08-12T22:39:22.448312,0.5,212.06854248046875,7.0648932456970215,22.12999172347129,0.019746274218501725,22.124666213989258,0.48546740412712097,True,,1.6851067543029785,8.814893245697021,False,False,False,0.40200903800700055,,"('2S0_0_', '3S0_0_', 0)",0,11,15.607147216796875,-0.06489324569702148,75.58282470703125,637.2861328125,-0.2431640625,425.2803861329594,0.006466450169682503,-3.6939899921417236,expert,True,2.4013122576774957,unknown,True,[259],0.9523549675941467,0.18458570539951324,0.0,1.0,0.0936170443892479,0.4897162914276123,0.4901275038719177,0.9959008693695068,0.5001130104064941
5,2025-08-12T22:39:22.450870,0.6,214.2587890625,7.111807346343994,21.009316504708625,0.027659058449344798,21.003551483154297,0.4921433627605438,True,,1.6381926536560059,8.861807346343994,False,False,False,0.40616099242297243,,"('2S0_0_', '3S0_0_', 0)",0,11,17.797393798828125,-0.11180734634399414,75.58282470703125,637.2861328125,-0.2431640625,423.09127758038875,-0.0053436607122421265,-3.7332675457000732,expert,True,2.284788506302439,unknown,True,[259],0.9520309567451477,0.18507681787014008,0.0,1.0,0.09101070463657379,0.4923226237297058,0.48617222905158997,0.9460930824279785,0.49996331334114075
6,2025-08-12T22:39:22.452622,0.7,216.3365936279297,7.153434753417969,19.873682895830278,0.026742931034357653,19.87206268310547,0.2537647783756256,True,,1.5965652465820312,8.903434753417969,False,False,False,0.41009979543800174,,"('2S0_0_', '3S0_0_', 0)",0,11,19.875198364257812,-0.15343475341796875,75.58282470703125,637.2861328125,-0.2431640625,421.0145178182645,-0.03370962291955948,-3.616187572479248,expert,True,2.1672361384609236,unknown,True,[259],0.9514641165733337,0.18670596182346344,0.0,1.0,0.08869806677103043,0.4946352541446686,0.4866301417350769,0.8956204652786255,0.49969029426574707
7,2025-08-12T22:39:22.454281,0.7999999999999999,218.30104064941406,7.173336505889893,18.742967608473744,0.01367253587841244,18.74296760559082,-0.0003287387080490589,True,,1.5766634941101074,8.923336505889893,False,False,False,0.4138237115270435,,"('2S0_0_', '3S0_0_', 0)",0,11,21.839645385742188,-0.17333650588989258,75.58282470703125,637.2861328125,-0.2431640625,419.0507271627035,-0.030811414122581482,-2.972181558609009,expert,True,2.0487903757225068,unknown,True,[259],0.9516837000846863,0.1847110241651535,0.0,1.0,0.08759241551160812,0.4957409203052521,0.49316394329071045,0.8453664779663086,0.4996306896209717
8,2025-08-12T22:39:22.456244,0.8999999999999999,220.15328979492188,7.169322967529297,17.64460623249364,-0.005863348613972974,17.643007278442383,-0.23753583431243896,True,,1.5806770324707031,8.919322967529297,False,False,False,0.41733493902182134,,"('2S0_0_', '3S0_0_', 0)",0,11,23.69189453125,-0.16932296752929688,75.58282470703125,637.2861328125,-0.2431640625,417.19869808988835,-0.029152480885386467,-3.0911638736724854,expert,True,1.931649873554034,unknown,True,[259],0.9517267346382141,0.18381567299365997,0.0,1.0,0.08781538903713226,0.49551793932914734,0.5029316544532776,0.7965503931045532,0.4996892809867859
9,2025-08-12T22:39:22.458078,0.9999999999999999,221.8959197998047,7.141469478607178,16.566612163515845,-0.0274725040149848,16.55972671508789,-0.47758737206459045,True,,1.6085305213928223,8.891469478607178,False,False,False,0.42063836631787865,,"('2S0_0_', '3S0_0_', 0)",0,11,25.434524536132812,-0.14146947860717773,75.58282470703125,637.2861328125,-0.2431640625,415.4558482910896,-0.030003005638718605,-3.0392725467681885,expert,True,1.8171797596186339,unknown,True,[259],0.9516234993934631,0.1836494654417038,0.0,1.0,0.08936280757188797,0.49397051334381104,0.5137345194816589,0.7486395239830017,0.49975335597991943
10,2025-08-12T22:39:22.461014,1.0999999999999999,223.53042602539062,7.090322494506836,15.498130202606317,-0.0489213371183741,15.482975006103516,-0.6852187514305115,True,,1.659677505493164,8.840322494506836,False,False,False,0.42373682810612234,,"('2S0_0_', '3S0_0_', 0)",0,11,27.06903076171875,-0.09032249450683594,75.58282470703125,637.2861328125,-0.2431640625,413.8206917542696,-0.017709942534565926,-2.1521406173706055,expert,True,1.704247811497666,unknown,True,[259],0.9514634609222412,0.18380101025104523,0.0,1.0,0.09220430254936218,0.4911290407180786,0.5244508981704712,0.7011514902114868,0.4998409152030945
11,2025-08-12T22:39:22.462811,1.2,225.0574493408203,7.021156311035156,14.433395790545475,-0.06710899630890665,14.41196060180664,-0.786324143409729,True,,1.7288436889648438,8.771156311035156,False,False,False,0.42663153925408376,,"('2S0_0_', '3S0_0_', 0)",0,11,28.596054077148438,-0.02115631103515625,75.58282470703125,637.2861328125,-0.2431640625,412.2926846638,0.016369735822081566,-2.9667325019836426,expert,True,1.5919735964871422,unknown,True,[259],0.9512274265289307,0.1843789666891098,0.0,1.0,0.09604687243700027,0.48728644847869873,0.5335293412208557,0.6538299322128296,0.5000159740447998
