step,timestamp,simulation_time,pos_x,pos_y,speed,heading,velocity_x,velocity_y,on_lane,out_of_road,dist_to_left_side,dist_to_right_side,crash_vehicle,crash_object,crash_sidewalk,nav_route_completion,nav_distance_to_dest,nav_current_lane,nav_route_length,nav_checkpoints_count,lane_longitudinal_pos,lane_lateral_pos,lane_length,custom_dest_x,custom_dest_y,distance_to_custom_dest,action_steering,action_throttle,action_source,action_success,reward,control_mode,expert_takeover,obs_shape,obs_mean,obs_std,obs_min,obs_max,obs_0,obs_1,obs_2,obs_3,obs_4
0,2025-08-12T23:05:39.608248,0.0,5.007339000701904,7.244943618774414,0.3060025157978067,-0.00019108180821270082,0.30573421716690063,-0.012811250053346157,True,,1.8116197203615283,9.056256286601602,False,False,False,0.008944295573804557,,"('>', '>>', 0)",0,14,5.007339000701904,0.0003070525343398245,10.0,,,,0.0,0.0,expert,True,0.008716012022994428,unknown,True,[259],0.9575040340423584,0.16883397102355957,0.0,1.0,0.10064554214477539,0.5031253695487976,0.500095546245575,0.025945790112018585,0.4989219605922699
1,2025-08-12T23:05:39.692210,0.0,5.044025897979736,7.243371486663818,0.6119768195376711,-0.0012456935998841345,0.6112933158874512,-0.028915559872984886,True,,1.813191852472124,9.054684154491007,False,False,False,0.00900982707724236,,"('>', '>>', 0)",0,14,5.044025897979736,0.0018791846449355276,10.0,,,,0.0,0.0,expert,True,0.03944079296575155,unknown,True,[259],0.9576054215431213,0.168305903673172,0.0,1.0,0.10073287785053253,0.5030379891395569,0.5006228685379028,0.03954464942216873,0.4989752769470215
2,2025-08-12T23:05:39.775356,0.0,5.111271381378174,7.240194320678711,0.918017803134869,-0.0031656995877771266,0.9169188141822815,-0.044906292110681534,True,,1.8163690184572314,9.0515069885059,False,False,False,0.009129943466293446,,"('>', '>>', 0)",0,14,5.111271381378174,0.0050563506300429495,10.0,,,,0.0,0.0,expert,True,0.07137656351254441,unknown,True,[259],0.9577167630195618,0.16774818301200867,0.0,1.0,0.10090938955545425,0.502861499786377,0.5015828609466553,0.053146470338106155,0.49905911087989807
3,2025-08-12T23:05:39.858216,0.0,5.209079265594482,7.235429763793945,1.2240730306278753,-0.005930193957333962,1.2225741147994995,-0.06055838614702225,True,,1.821133575341997,9.046742431621134,False,False,False,0.00930465155491227,,"('>', '>>', 0)",0,14,5.209079265594482,0.009820907514808574,10.0,,,,0.0,0.0,expert,True,0.10331621285413403,unknown,True,[259],0.9578226208686829,0.1672104001045227,0.0,1.0,0.10117408633232117,0.5025967955589294,0.5029650926589966,0.06674892455339432,0.4991120994091034
4,2025-08-12T23:05:39.942154,0.0,5.337465286254883,7.229252815246582,1.5303644113393036,-0.009411478134286,1.5286664962768555,-0.07206923514604568,True,,1.8273105238893603,9.04056548307377,False,False,False,0.009533979450660935,,"('>', '>>', 0)",0,14,5.337465286254883,0.015997856062171856,10.0,,,,0.0,0.0,expert,True,0.13527266051142725,unknown,True,[259],0.9579418301582336,0.16664540767669678,0.0,1.0,0.10151725262403488,0.5022536516189575,0.5047056674957275,0.08036187291145325,0.49923455715179443
5,2025-08-12T23:05:40.025181,0.0,5.496450901031494,7.221749782562256,1.8366031961439984,-0.013367737091652288,1.8344306945800781,-0.08930468559265137,True,,1.8348135565736865,9.033062450389444,False,False,False,0.00981796548203323,,"('>', '>>', 0)",0,14,5.496450901031494,0.023500888746498028,10.0,,,,0.0,0.0,expert,True,0.16725032915925933,unknown,True,[259],0.9580304026603699,0.16619686782360077,0.0,1.0,0.10193408280611038,0.5018367767333984,0.5066836476325989,0.09397248923778534,0.4992636740207672
6,2025-08-12T23:05:40.106717,0.0,5.686007976531982,7.212440013885498,2.142829486568283,-0.01787393881412136,2.139974355697632,-0.11058013141155243,True,,1.8441233252504443,9.023752681712686,False,False,False,0.010156559396115079,,"('>', '>>', 0)",0,14,5.686007976531982,0.03281065742325584,10.0,,,,0.0,0.0,expert,True,0.19919980819004557,unknown,True,[259],0.9581221342086792,0.1657315045595169,0.0,1.0,0.10245129466056824,0.5013195872306824,0.5089364647865295,0.10758254677057266,0.4992882311344147
7,2025-08-12T23:05:40.191991,0.0,5.906112194061279,7.2008891105651855,2.4490179302079325,-0.022962840183099686,2.445183515548706,-0.1369905024766922,True,,1.8556742285707568,9.012201778392374,False,False,False,0.010549717753946863,,"('>', '>>', 0)",0,14,5.906112194061279,0.04436156074356834,10.0,,,,0.0,0.0,expert,True,0.23112479821523257,unknown,True,[259],0.9582136273384094,0.16526378691196442,0.0,1.0,0.10309301316738129,0.5006778836250305,0.5114803910255432,0.12119092047214508,0.4992986023426056
8,2025-08-12T23:05:40.277480,0.0,6.156577110290527,7.186791896820068,2.748318399036691,-0.0285669300649527,2.743518114089966,-0.16236495971679688,True,,1.869771442315874,8.998104564647257,False,False,False,0.01099710752350482,,"('>', '>>', 0)",0,14,6.156577110290527,0.05845877448868553,10.0,,,,0.0,0.0,expert,True,0.26283234902491315,unknown,True,[259],0.9582701325416565,0.16476662456989288,0.0,1.0,0.10387618839740753,0.4998947083950043,0.5142815113067627,0.1344931572675705,0.49935784935951233
9,2025-08-12T23:05:40.358902,0.0,6.4371018409729,7.170518398284912,3.054958504658625,-0.034179941536458536,3.0497851371765137,-0.17771348357200623,True,,1.8860449408510302,8.9818310661121,False,False,False,0.011498191254131675,,"('>', '>>', 0)",0,14,6.4371018409729,0.07473227302384178,10.0,,,,0.0,0.0,expert,True,0.29427204395333684,unknown,True,[259],0.9584187865257263,0.164325550198555,0.0,1.0,0.10478027164936066,0.49899062514305115,0.5170866250991821,0.14812161028385162,0.49951082468032837
